SCIENTIFIC_NAME,COMMON_NAME,TAXON_ID,SPECIES_CODE,CATEGORY,TAXON_ORDER,COM_NAME_CODES,SCI_NAME_CODES,BANDING_CODES
Bombycilla japonica,Japanese Waxwing,TC010450,japwax1,species,27740.0,JAWA,BOJA,
Moho braccatus,Kauai Oo,TC010451,kauoo,species,27741.0,,MOBR,KAOO
Moho apicalis,Oahu Oo,TC010452,oahoo,species,27742.0,,MOAP,OAOO
Moho bishopi,Bishop's Oo,TC010453,bisoo,species,27743.0,,MOBI,BIOO
Moho nobilis,Hawaii Oo,TC010454,hawoo,species,27744.0,,MONO,HAOO
Chaetoptila angustipluma,Kioea,TC010455,kioea,species,27745.0,,CHAN,KIOE
Phainoptila melanoxantha,Black-and-yellow Silky-flycatcher,TC010456,bayfly1,species,27746.0,BAYP,PHME,BAYS
Ptiliogonys cinereus,Gray Silky-flycatcher,TC010457,grsfly1,species,27749.0,GSFL,PTCI,GRSF
Ptiliogonys caudatus,Long-tailed Silky-flycatcher,TC010458,ltsfly1,species,27754.0,,PTCA,LTSF
Phainopepla nitens,Phainopepla,TC010459,phaino,species,27755.0,,PHNI,PHAI
Dulus dominicus,Palmchat,TC010460,palmch1,species,27758.0,,DUDO,PALM
Hylocitrea bonensis,Hylocitrea,TC010461,olfwhi1,species,27759.0,HYLO,HYBO,
Hypocolius ampelinus,Hypocolius,TC010462,hypoco1,species,27762.0,GRHY HYPO,HYAM,
Peucedramus taeniatus,Olive Warbler,TC010463,oliwar,species,27763.0,,PETA,OLWA
Calcarius lapponicus,Lapland Longspur,TC010464,laplon,species,27763.5,LABU,CALA,LALO
Calcarius ornatus,Chestnut-collared Longspur,TC010465,chclon,species,27764.0,,CAOR,CCLO
Calcarius pictus,Smith's Longspur,TC010466,smilon,species,27765.0,,CAPI,SMLO
Rhynchophanes mccownii,McCown's Longspur,TC010467,mcclon,species,27766.0,,RHMC,MCLO
Plectrophenax nivalis,Snow Bunting,TC010469,snobun,species,27766.4,,PLNI,SNBU
Plectrophenax hyperboreus,McKay's Bunting,TC010471,mckbun,species,27768.0,MCBU,PLHY,MKBU
Seiurus aurocapilla,Ovenbird,TC010561,ovenbi1,species,27769.0,,SEAU,OVEN
Helmitheros vermivorum,Worm-eating Warbler,TC010559,woewar1,species,27772.0,,HEVE,WEWA
Parkesia motacilla,Louisiana Waterthrush,TC010563,louwat,species,27773.0,,PAMO,LOWA
Parkesia noveboracensis,Northern Waterthrush,TC010562,norwat,species,27774.0,,PANO,NOWA
Vermivora bachmanii,Bachman's Warbler,TC010472,bacwar,species,27776.0,,VEBA,BAWA
Vermivora chrysoptera,Golden-winged Warbler,TC010476,gowwar,species,27776.5,,VECH,GWWA
Vermivora cyanoptera,Blue-winged Warbler,TC010473,buwwar,species,27777.0,,VECY,BWWA
